ID,TYPE,EPOCH,BATCH,PRECISION,RECALL,F1,ACCURACY,LOSS
0,0,1,1,0,0,0,0,tensor(9.8475)
0,0,1,2,0,0,0,0,tensor(6.6998)
0,0,1,3,0,0,0,0,tensor(9.2298)
0,0,1,4,0,0,0,0,tensor(9.3904)
0,0,1,5,0,0,0,0,tensor(8.5418)
0,0,1,6,0,0,0,0,tensor(9.9750)
0,0,1,7,0,0,0,0,tensor(8.0156)
0,0,1,8,0,0,0,0,tensor(9.2267)
0,0,1,9,0,0,0,0,tensor(9.1707)
0,0,1,10,0,0,0,0,tensor(9.4898)
0,0,1,11,0,0,0,0,tensor(10.4026)
0,0,1,12,0,0,0,0,tensor(7.7119)
0,0,1,13,0,0,0,0,tensor(11.9922)
0,0,1,14,0,0,0,0,tensor(8.9500)
0,0,1,15,0,0,0,0,tensor(9.0414)
0,0,1,16,0,0,0,0,tensor(8.7909)
0,0,1,17,0,0,0,0,tensor(9.1365)
0,0,1,18,0,0,0,0,tensor(7.6255)
0,0,1,19,0,0,0,0,tensor(8.5534)
0,0,1,20,0,0,0,0,tensor(8.6198)
0,0,1,21,0,0,0,0,tensor(7.9771)
0,0,1,22,0,0,0,0,tensor(9.5375)
0,0,1,23,0,0,0,0,tensor(8.4245)
0,0,1,24,0,0,0,0,tensor(8.9971)
0,0,1,25,0,0,0,0,tensor(12.0479)
0,0,1,26,0,0,0,0,tensor(9.0639)
0,0,1,27,0,0,0,0,tensor(10.6798)
0,0,1,28,0,0,0,0,tensor(11.7099)
0,0,1,29,0,0,0,0,tensor(9.4908)
0,0,1,30,0,0,0,0,tensor(8.5393)
0,0,1,31,0,0,0,0,tensor(11.2614)
0,0,1,32,0,0,0,0,tensor(8.2891)
0,0,1,33,0,0,0,0,tensor(7.7838)
0,0,1,34,0,0,0,0,tensor(11.0811)
0,0,1,35,0,0,0,0,tensor(6.5646)
0,0,1,36,0,0,0,0,tensor(10.2297)
0,0,1,37,0,0,0,0,tensor(7.7499)
0,0,1,38,0,0,0,0,tensor(8.2904)
0,0,1,39,0,0,0,0,tensor(7.1159)
0,0,1,40,0,0,0,0,tensor(8.7205)
0,0,1,41,0,0,0,0,tensor(11.2561)
0,0,1,42,0,0,0,0,tensor(7.8485)
0,0,1,43,0,0,0,0,tensor(12.0424)
0,0,1,44,0,0,0,0,tensor(8.5969)
0,0,1,45,0,0,0,0,tensor(9.3358)
0,0,1,46,0,0,0,0,tensor(9.2550)
0,0,1,47,0,0,0,0,tensor(9.1205)
0,0,1,48,0,0,0,0,tensor(7.8690)
0,0,1,49,0,0,0,0,tensor(9.8375)
0,0,1,50,0,0,0,0,tensor(9.2017)
0,0,1,51,0,0,0,0,tensor(5.0932)
0,0,1,52,0,0,0,0,tensor(7.0543)
0,0,1,53,0,0,0,0,tensor(10.5489)
0,0,1,54,0,0,0,0,tensor(9.6855)
0,0,1,55,0,0,0,0,tensor(8.7777)
0,0,1,56,0,0,0,0,tensor(10.1546)
0,0,1,57,0,0,0,0,tensor(12.3588)
0,0,1,58,0,0,0,0,tensor(13.1366)
0,0,1,59,0,0,0,0,tensor(9.2164)
0,0,1,60,0,0,0,0,tensor(8.5263)
0,0,1,61,0,0,0,0,tensor(6.2618)
0,0,1,62,0,0,0,0,tensor(10.1382)
0,0,1,63,0,0,0,0,tensor(7.7893)
0,0,1,64,0,0,0,0,tensor(5.9788)
